Datetime,Type,Lon,Lat
20/06/2009 23:41,Public Drunkenness,-75.143832,39.958556
01/07/2010 22:32,Prostitution,-75.106447,40.000383
06/07/2007 22:51,Prostitution,-75.161115,39.946523
25/06/2008 22:29,Prostitution,-75.08212,40.009247
15/08/2015 22:07,Prostitution,-75.125492,39.989889
28/08/2015 02:19,Prostitution,-75.146086,40.022667
13/05/2011 08:51,Family Abuse,-75.137804,40.003285
18/02/2010 23:20,Prostitution,-75.147269,40.014986
15/08/2015 20:01,Public Drunkenness,-75.208811,39.954853
17/06/2016 16:13,Family Abuse,-75.126588,39.992757
03/10/2012 23:49,Prostitution,-75.125492,39.989889
29/08/2008 23:38,Prostitution,-75.157902,40.049129
23/07/2008 13:02,Prostitution,-75.11801,39.994007
28/04/2012 15:33,Homicide,-75.122562,39.991437
29/01/2008 22:14,Prostitution,-75.132589,39.983231
02/03/2012 03:19,Family Abuse,-75.149912,39.921785
21/11/2013 22:05,Prostitution,-75.111001,39.997854
09/08/2014 22:39,Prostitution,-75.117994,39.993996
18/09/2015 03:18,Prostitution,-75.147195,40.019958
24/12/2006 02:59,Homicide,-75.201165,39.957018
23/01/2008 20:23,Homicide,-74.985936,40.096793
13/04/2014 21:11,Homicide,-75.17754,39.993907
18/04/2012 23:06,Prostitution,-75.244275,39.920516
01/04/2010 23:05,Prostitution,-75.14674,40.026085
22/07/2013 18:38,Homicide,-75.135074,39.990233
11/06/2013 22:12,Liquor Law Violations,-75.086381,40.013919
15/08/2007 22:17,Prostitution,-75.122562,39.99148
02/03/2011 22:06,Prostitution,-75.222889,39.968414
14/06/2011 20:55,Liquor Law Violations,-75.168078,39.906642
13/04/2007 23:10,Prostitution,-75.159929,39.959361
08/06/2012 23:23,Prostitution,-75.087588,40.01259
13/06/2012 19:35,Liquor Law Violations,-75.085552,40.017457
15/12/2009 16:16,Homicide,-75.197019,39.934142
21/11/2007 12:42,Liquor Law Violations,-75.083649,40.016743
29/07/2010 21:00,Prostitution,-75.159929,39.959361
01/10/2011 20:04,Prostitution,-75.238758,39.922409
30/06/2012 21:28,Liquor Law Violations,-75.083676,40.016863
10/07/2010 00:43,Homicide,-75.112731,39.99111
12/09/2014 21:51,Liquor Law Violations,-75.068568,39.999754
20/05/2015 10:41,Prostitution,-75.024561,40.043935
20/05/2015 23:23,Prostitution,-75.148328,40.015993
18/11/2010 09:31,Homicide,-75.172626,39.98006
13/08/2014 19:08,Public Drunkenness,-75.14373,40.038889
06/05/2014 13:23,Public Drunkenness,-75.161866,39.950401
19/12/2013 19:52,Prostitution,-75.104232,40.001497
17/12/2008 22:48,Prostitution,-75.101188,40.003265
10/11/2009 12:18,Prostitution,-75.108741,39.999085
05/08/2011 15:13,Family Abuse,-75.148354,39.921632
22/01/2015 16:27,Public Drunkenness,-75.168216,39.954014
28/04/2011 22:10,Prostitution,-75.237218,39.921637
23/07/2008 22:43,Prostitution,-75.120345,39.992646
07/03/2014 10:38,Prostitution,-75.118009,39.994007
16/10/2008 22:46,Prostitution,-75.088753,40.010998
07/05/2011 17:06,Public Drunkenness,-75.15747,39.980981
17/10/2016 11:01,Prostitution,-75.043252,40.026005
28/05/2014 20:57,Liquor Law Violations,-75.166569,39.907108
07/02/2014 22:02,Public Drunkenness,-75.167254,39.951238
28/06/2009 00:04,Liquor Law Violations,-75.124397,40.021525
05/03/2011 23:08,Liquor Law Violations,-75.056078,40.053139
04/02/2012 03:08,Liquor Law Violations,-75.147917,39.984772
07/07/2016 14:54,Public Drunkenness,-75.159664,39.952945
09/02/2013 03:24,Liquor Law Violations,-75.106432,40.032597
15/01/2010 22:35,Prostitution,-75.082135,40.021161
31/10/2008 22:40,Prostitution,-75.061853,40.016384
04/04/2016 08:34,Liquor Law Violations,-75.078182,40.022416
17/11/2009 19:30,Homicide,-75.191535,39.92521
03/04/2013 22:56,Prostitution,-75.111001,39.997854
07/12/2014 02:46,Public Drunkenness,-75.143984,39.941605
27/08/2008 22:29,Prostitution,-75.223324,39.968295
25/03/2010 22:36,Prostitution,-75.152183,39.987449
03/06/2010 22:56,Prostitution,-75.128524,39.988128
10/03/2014 10:45,Family Abuse,-75.154601,39.920385
20/11/2009 22:22,Homicide,-75.170863,39.996016
28/03/2009 22:00,Liquor Law Violations,-75.060651,40.016997
27/06/2008 08:57,Family Abuse,-75.227697,39.955493
16/04/2010 20:33,Public Drunkenness,-75.145681,39.950187
12/03/2014 23:15,Public Drunkenness,-75.139046,39.988734
01/03/2008 01:31,Liquor Law Violations,-75.143907,39.941939
05/06/2015 22:34,Prostitution,-75.223143,39.969712
28/08/2009 22:25,Liquor Law Violations,-75.046529,40.024314
29/06/2010 23:02,Prostitution,-75.215967,39.970632
31/01/2008 23:48,Family Abuse,-75.219179,39.959297
15/07/2008 22:24,Prostitution,-75.149878,40.015337
24/07/2014 10:21,Prostitution,-75.111554,39.99741
30/12/2009 23:04,Prostitution,-75.096881,40.005517
28/10/2015 14:04,Public Drunkenness,-75.158137,39.952729
08/07/2006 06:10,Homicide,-75.22989,39.93216
28/10/2014 23:56,Prostitution,-75.147218,40.018186
15/08/2008 21:54,Homicide,-75.156596,40.007493
22/10/2008 20:19,Liquor Law Violations,-75.0835,40.016909
16/06/2008 22:22,Homicide,-75.120263,39.99729
22/04/2011 23:02,Prostitution,-75.17259,40.028042
20/09/2008 04:17,Liquor Law Violations,-75.067082,40.041262
12/09/2014 21:49,Liquor Law Violations,-75.068568,39.999754
18/10/2011 12:02,Prostitution,-75.128524,39.988128
30/03/2014 02:53,Homicide,-75.146234,40.028309
28/10/2014 23:37,Prostitution,-75.148878,40.002742
31/08/2015 17:49,Homicide,-75.194674,39.934793
18/10/2014 23:46,Prostitution,-75.157943,40.050396
02/08/2008 22:43,Liquor Law Violations,-75.15214,39.941958
25/03/2016 20:17,Liquor Law Violations,-74.96765,40.102754
28/10/2012 01:05,Liquor Law Violations,-75.171996,39.939324
30/03/2007 20:26,Liquor Law Violations,-75.150464,39.919355
19/05/2009 12:45,Homicide,-75.12662,39.995768
02/04/2007 20:01,Family Abuse,-75.143575,39.986337
19/12/2008 23:07,Prostitution,-75.05931,40.017687
04/03/2016 14:05,Prostitution,-75.079115,40.021197
19/08/2007 01:32,Liquor Law Violations,-75.247775,39.885552
18/06/2010 10:15,Prostitution,-75.147235,40.014044
04/04/2013 16:54,Prostitution,-75.028784,40.080285
31/10/2014 18:18,Public Drunkenness,-75.226698,39.968003
11/04/2006 12:44,Family Abuse,-75.083071,40.020264
30/09/2011 23:11,Liquor Law Violations,-75.173193,39.916431
19/07/2008 22:45,Prostitution,-75.106447,40.000383
08/05/2013 15:53,Family Abuse,-75.177684,40.071798
25/11/2011 22:03,Prostitution,-75.176492,40.034044
24/09/2008 23:10,Prostitution,-75.202652,39.965135
18/07/2012 23:34,Prostitution,-75.125492,39.989889
30/04/2007 15:42,Prostitution,-75.14598,39.949079
12/01/2008 01:50,Public Drunkenness,-75.219336,40.023
05/06/2013 22:03,Public Drunkenness,-75.174718,39.982319
25/04/2009 02:32,Public Drunkenness,-75.143933,39.948816
02/05/2014 20:36,Prostitution,-75.248726,39.88446
24/11/2007 00:03,Public Drunkenness,-75.222786,40.02484
20/10/2012 23:40,Prostitution,-75.129642,39.987608
04/10/2012 23:13,Prostitution,-75.158674,40.021327
03/05/2013 23:35,Prostitution,-75.043653,40.026561
16/12/2011 21:51,Public Drunkenness,-75.237147,39.961564
12/09/2014 22:37,Prostitution,-75.148171,40.010534
07/01/2015 21:17,Prostitution,-75.115786,39.995225
27/05/2006 21:46,Liquor Law Violations,-75.168078,39.906642
04/01/2013 23:07,Liquor Law Violations,-75.098623,39.995157
21/06/2013 19:34,Prostitution,-75.096881,40.005517
10/07/2014 22:06,Prostitution,-75.222874,39.968412
04/06/2015 19:22,Homicide,-75.149297,39.929718
16/03/2011 23:19,Public Drunkenness,-75.160572,39.948851
29/03/2007 01:19,Homicide,-75.086088,40.01685
18/05/2013 15:53,Family Abuse,-75.179651,39.937352
13/10/2006 21:44,Liquor Law Violations,-75.172766,39.911851
14/02/2013 23:32,Prostitution,-75.222889,39.968414
11/01/2007 16:26,Family Abuse,-75.244143,39.955728
25/02/2011 18:52,Family Abuse,-75.143613,40.044396
31/07/2012 14:36,Liquor Law Violations,-75.035461,40.037451
01/06/2006 02:02,Prostitution,-75.245832,39.967282
02/10/2006 16:35,Homicide,-75.229206,39.931085
21/02/2012 23:20,Prostitution,-75.149183,40.001071
16/10/2013 14:20,Homicide,-75.12251,40.040667
13/02/2014 17:15,Homicide,-75.089794,40.045429
16/10/2014 11:43,Prostitution,-75.160322,39.920322
12/02/2011 23:44,Liquor Law Violations,-75.161905,39.920804
25/11/2015 19:59,Liquor Law Violations,-75.148786,39.958472
16/08/2013 05:41,Homicide,-75.233359,39.948195
27/07/2016 18:51,Prostitution,-75.222889,39.968414
04/09/2009 16:33,Family Abuse,-75.221335,40.003585
08/05/2010 20:48,Liquor Law Violations,-75.084831,40.074033
19/06/2012 20:17,Liquor Law Violations,-75.168078,39.906642
21/05/2007 18:54,Public Drunkenness,-75.169312,39.971009
28/08/2015 22:51,Prostitution,-75.16852,39.929237
29/12/2008 03:15,Public Drunkenness,-75.162432,39.945202
19/05/2010 22:07,Public Drunkenness,-75.184936,39.975795
25/05/2007 23:31,Liquor Law Violations,-75.083455,40.065491
08/12/2014 23:27,Public Drunkenness,-75.15972,39.952909
15/08/2014 10:33,Prostitution,-75.105373,40.000894
10/06/2015 10:17,Prostitution,-75.158752,39.920373
31/12/2009 13:40,Homicide,-75.180547,39.988276
28/04/2016 13:42,Gambling,-75.178538,39.982929
12/01/2012 22:56,Prostitution,-75.129642,39.987608
12/02/2010 15:42,Gambling,-75.172232,39.997035
11/04/2007 22:44,Prostitution,-75.151213,39.991898
03/06/2016 22:01,Prostitution,-75.060651,40.016997
16/03/2008 03:32,Homicide,-75.248948,39.973328
31/12/2010 00:29,Prostitution,-75.125492,39.989889
02/05/2010 18:46,Homicide,-75.176681,39.927405
06/02/2007 22:03,Prostitution,-75.157936,39.986463
09/04/2008 22:02,Prostitution,-75.175395,39.982721
22/01/2013 23:36,Prostitution,-75.087588,40.01259
06/03/2011 20:53,Public Drunkenness,-75.19253,39.958048
07/03/2007 22:35,Prostitution,-75.141119,40.011073
25/05/2010 21:58,Prostitution,-75.202652,39.965135
29/03/2016 11:24,Prostitution,-75.122562,39.99148
05/12/2007 21:45,Prostitution,-75.147239,40.016659
23/08/2007 21:00,Public Drunkenness,-75.215826,40.034091
20/10/2011 22:44,Prostitution,-75.158073,40.048145
27/11/2010 01:31,Prostitution,-75.128524,39.988128
03/11/2015 16:00,Public Drunkenness,-75.231759,39.923346
14/06/2013 10:17,Public Drunkenness,-75.173634,39.95166
12/07/2006 12:21,Homicide,-75.037735,40.073704
30/12/2011 22:33,Prostitution,-75.063417,40.015482
08/12/2012 21:33,Public Drunkenness,-75.172567,39.980591
24/10/2011 14:11,Homicide,-75.173125,39.997232
20/07/2007 22:15,Liquor Law Violations,-75.080219,40.020602
28/08/2008 20:48,Liquor Law Violations,-74.998571,40.059548
21/09/2013 20:05,Liquor Law Violations,-75.108132,39.98546
11/01/2008 21:25,Public Drunkenness,-75.158742,40.032316
02/09/2008 02:31,Homicide,-75.139216,39.996347
12/01/2006 01:19,Prostitution,-75.168961,39.935973
19/10/2012 09:14,Public Drunkenness,-75.23859,39.976066
11/06/2011 01:26,Homicide,-75.144591,39.981666
12/11/2009 22:40,Prostitution,-75.101188,40.003265
23/03/2010 22:54,Prostitution,-75.238185,39.924805
13/03/2015 22:52,Liquor Law Violations,-75.148874,39.958053
21/02/2012 11:32,Homicide,-75.108261,40.007404
18/02/2010 23:20,Prostitution,-75.147303,40.011954
24/05/2016 09:55,Prostitution,-75.044711,40.025246
30/08/2016 17:17,Public Drunkenness,-75.201907,39.957129
13/05/2009 22:17,Prostitution,-75.108741,39.999085
09/07/2008 14:49,Public Drunkenness,-75.176598,40.034107
23/02/2008 22:38,Prostitution,-75.212999,39.969706
26/01/2013 22:02,Prostitution,-75.05931,40.017687
21/09/2012 00:08,Prostitution,-75.147379,40.010431
13/06/2009 02:59,Prostitution,-75.044711,40.025246
14/02/2012 23:43,Prostitution,-75.168487,39.930445
08/01/2015 04:02,Prostitution,-75.086381,40.013919
05/02/2013 10:18,Prostitution,-75.097675,40.003754
21/03/2015 21:16,Prostitution,-75.223143,39.969712
17/04/2011 04:43,Public Drunkenness,-75.043438,40.115878
14/04/2006 20:08,Gambling,-75.149044,40.007382
07/06/2012 11:12,Liquor Law Violations,-75.027073,40.038713
11/01/2016 17:43,Family Abuse,-75.149077,40.04831
06/09/2009 03:08,Liquor Law Violations,-75.154789,39.986952
10/03/2008 01:28,Homicide,-75.172673,39.978422
14/03/2009 20:45,Prostitution,-75.147285,40.014117
14/03/2012 05:31,Homicide,-75.131682,40.035573
22/06/2007 00:30,Public Drunkenness,-75.184974,39.975393
19/10/2006 01:05,Prostitution,-75.236117,39.942339
06/03/2011 23:44,Public Drunkenness,-75.143305,39.951944
17/06/2014 22:00,Prostitution,-75.222874,39.968412
09/09/2006 02:19,Liquor Law Violations,-75.1557,39.984583
24/09/2008 23:11,Prostitution,-75.207624,39.966375
14/11/2009 00:35,Homicide,-75.220353,39.938702
23/12/2009 12:56,Prostitution,-75.103724,40.001854
18/03/2008 23:45,Liquor Law Violations,-75.081259,40.019479
28/02/2007 22:12,Prostitution,-75.233643,39.940253
21/07/2009 12:39,Prostitution,-75.101188,40.003265
10/11/2006 01:50,Prostitution,-75.243379,39.919152
30/05/2013 20:01,Prostitution,-75.108776,39.999071
02/03/2011 10:00,Prostitution,-75.147285,40.014117
08/07/2011 23:25,Prostitution,-75.125492,39.989889
09/04/2014 22:17,Prostitution,-75.128751,39.986585
23/04/2010 20:07,Prostitution,-75.157797,39.961703
23/10/2009 23:05,Prostitution,-75.162174,39.949084
28/12/2010 21:20,Public Drunkenness,-75.166591,39.904459
07/05/2006 22:09,Liquor Law Violations,-75.168078,39.906642
18/08/2009 22:27,Prostitution,-75.141171,40.015792
21/01/2009 22:22,Prostitution,-75.202431,39.963007
30/01/2011 21:28,Public Drunkenness,-75.171268,39.965103
05/05/2008 20:29,Liquor Law Violations,-75.150999,39.937092
08/01/2011 21:37,Prostitution,-75.120326,39.992726
22/07/2009 01:00,Public Drunkenness,-75.178561,39.982882
30/01/2011 04:31,Homicide,-75.179562,40.031057
16/01/2013 15:10,Prostitution,-75.045726,40.034277
17/10/2016 20:51,Public Drunkenness,-75.159444,39.971476
23/08/2007 22:17,Prostitution,-75.127384,39.988844
21/01/2006 18:38,Family Abuse,-75.111166,40.035626
07/06/2008 21:39,Prostitution,-75.106447,40.000383
05/06/2013 13:00,Prostitution,-75.15933,39.949476
09/02/2006 17:51,Prostitution,-75.148417,40.012024
05/10/2013 20:11,Prostitution,-75.096881,40.005517
30/10/2009 12:16,Prostitution,-75.108741,39.999085
16/07/2008 19:17,Liquor Law Violations,-75.07934,40.021406
10/04/2010 23:09,Public Drunkenness,-75.225345,40.028688
14/11/2012 23:15,Prostitution,-75.223143,39.969712
28/10/2014 11:36,Prostitution,-75.128524,39.988128
08/03/2014 23:42,Prostitution,-75.217187,39.970317
28/09/2013 19:45,Liquor Law Violations,-75.138097,39.96038
05/06/2014 21:55,Prostitution,-75.104186,40.001575
19/08/2013 07:22,Homicide,-75.023442,40.105307
23/02/2013 02:51,Family Abuse,-75.052617,40.026418
14/12/2008 02:10,Homicide,-75.233155,39.924529
18/01/2009 01:01,Homicide,-75.207267,39.964908
05/12/2014 03:32,Prostitution,-75.160636,39.948699
21/12/2007 22:31,Prostitution,-75.157922,39.961176
09/02/2013 23:33,Prostitution,-75.108732,39.998969
05/04/2007 13:14,Prostitution,-75.11337,39.996571
16/11/2010 22:27,Prostitution,-75.127384,39.988844
25/02/2006 01:32,Prostitution,-75.159929,39.959361
17/05/2006 16:36,Gambling,-75.159539,39.95028
12/10/2013 04:08,Prostitution,-75.147185,40.019989
01/06/2007 21:35,Prostitution,-75.160636,39.948699
03/01/2013 10:34,Prostitution,-75.120326,39.992726
14/09/2014 02:46,Public Drunkenness,-75.194513,39.954646
15/06/2011 16:04,Liquor Law Violations,-75.084672,40.014375
28/05/2009 23:01,Prostitution,-75.122562,39.99148
05/02/2007 09:10,Family Abuse,-75.115845,40.035823
26/07/2006 17:08,Gambling,-75.228026,39.963525
30/10/2012 21:07,Homicide,-75.227091,39.981189
21/09/2007 23:16,Liquor Law Violations,-75.175894,39.918735
10/02/2006 20:12,Liquor Law Violations,-75.241267,39.922565
04/06/2015 09:38,Public Drunkenness,-75.119031,39.983307
15/07/2010 22:04,Liquor Law Violations,-75.009376,40.062604
27/11/2013 10:32,Prostitution,-75.128524,39.988128
16/09/2015 10:52,Public Drunkenness,-75.139304,39.969429
04/09/2008 00:12,Prostitution,-75.151842,39.988856
05/06/2015 23:50,Prostitution,-75.223143,39.969712
19/05/2012 23:54,Prostitution,-75.179613,39.992426
31/07/2015 21:48,Prostitution,-75.003973,40.103492
26/09/2016 19:49,Homicide,-75.167748,40.059799
14/05/2011 19:59,Family Abuse,-75.090984,40.01954
05/01/2007 22:31,Homicide,-75.164169,40.042993
01/08/2012 12:29,Liquor Law Violations,-75.08554,40.014849
07/10/2016 21:52,Prostitution,-75.108741,39.999085
03/08/2012 23:54,Prostitution,-75.171149,39.979586
01/11/2015 01:35,Family Abuse,-75.130743,40.00148
05/09/2006 01:23,Prostitution,-75.082984,40.008887
27/07/2012 09:53,Prostitution,-75.120345,39.992646
22/07/2015 17:35,Liquor Law Violations,-75.08554,40.014849
09/08/2011 14:14,Public Drunkenness,-75.156544,39.952622
30/08/2016 14:09,Prostitution,-75.106469,40.000267
21/11/2010 00:51,Prostitution,-75.129642,39.987608
25/08/2007 20:22,Liquor Law Violations,-75.16263,39.946723
08/01/2008 22:26,Prostitution,-75.104232,40.001497
01/05/2010 16:36,Liquor Law Violations,-75.096225,40.048905
21/02/2016 02:44,Homicide,-75.23686,39.925815
17/02/2012 23:04,Liquor Law Violations,-75.167814,39.992802
03/09/2011 22:39,Prostitution,-75.131079,39.98537
17/04/2012 23:20,Prostitution,-75.222889,39.968414
19/06/2010 23:12,Prostitution,-75.147285,40.014117
22/07/2014 20:54,Liquor Law Violations,-75.032126,40.072378
21/02/2007 22:17,Prostitution,-75.187328,39.987149
17/05/2013 12:53,Prostitution,-75.104232,40.001497
16/02/2011 22:52,Prostitution,-75.147285,40.014117
19/08/2010 18:10,Family Abuse,-75.087042,40.017239
03/05/2011 20:18,Liquor Law Violations,-75.168078,39.906642
20/09/2006 01:18,Prostitution,-75.229585,39.975472
14/08/2010 00:55,Liquor Law Violations,-75.106111,40.032305
15/12/2013 15:56,Homicide,-75.10874,39.99705
17/06/2010 22:48,Liquor Law Violations,-75.067776,40.047454
28/08/2014 12:35,Prostitution,-75.127368,39.988833
21/05/2010 10:25,Family Abuse,-75.058423,40.022713
29/05/2012 23:06,Prostitution,-75.158752,39.920373
07/04/2006 22:50,Homicide,-75.240148,39.964631
23/06/2009 23:08,Prostitution,-75.162174,39.949084
03/05/2008 23:14,Liquor Law Violations,-75.153734,39.942235
07/08/2016 00:15,Homicide,-75.230092,39.964278
08/01/2013 23:26,Prostitution,-75.240052,39.921496
20/06/2006 11:37,Family Abuse,-75.229306,39.894728
03/05/2011 19:17,Liquor Law Violations,-75.168078,39.906642
10/06/2010 01:04,Homicide,-75.175613,39.92259
31/12/2010 21:30,Liquor Law Violations,-75.152177,39.942998
03/04/2016 22:35,Homicide,-74.992929,40.070797
26/09/2014 23:58,Liquor Law Violations,-75.163653,39.98255
12/09/2006 01:19,Prostitution,-75.159722,39.970256
18/06/2016 14:56,Homicide,-75.253542,39.978695
12/04/2006 02:26,Prostitution,-75.122057,39.990907
07/12/2013 20:31,Homicide,-75.144957,40.056873
30/07/2013 22:15,Prostitution,-75.105461,40.000839
20/09/2006 18:46,Liquor Law Violations,-75.062749,40.029419
12/07/2008 09:58,Public Drunkenness,-75.206471,40.024328
26/11/2011 19:46,Prostitution,-75.200188,39.961947
31/01/2015 14:45,Public Drunkenness,-75.168272,39.953979
04/05/2007 23:34,Prostitution,-75.22698,39.975682
09/08/2006 01:02,Prostitution,-75.103724,40.001854
03/05/2013 23:35,Prostitution,-75.043653,40.026561
13/03/2013 21:44,Prostitution,-75.163231,39.949048
07/04/2009 23:08,Prostitution,-75.111001,39.997854
02/02/2013 04:45,Liquor Law Violations,-75.221234,39.948234
12/07/2016 10:06,Prostitution,-75.126452,39.989257
10/10/2010 00:18,Liquor Law Violations,-75.152336,39.942024
26/06/2016 18:19,Homicide,-75.218879,39.940493
14/12/2010 11:49,Prostitution,-75.032477,40.07205
26/01/2006 10:54,Prostitution,-75.11337,39.996571
20/02/2016 22:42,Prostitution,-75.222889,39.968414
16/10/2008 23:17,Homicide,-75.226812,39.977246
19/04/2006 20:20,Liquor Law Violations,-75.168078,39.906642
07/08/2015 21:43,Prostitution,-75.108741,39.999085
26/01/2008 12:24,Liquor Law Violations,-75.07706,40.011381
10/06/2012 06:02,Homicide,-75.229411,40.03985
26/04/2009 20:24,Homicide,-75.158529,39.97586
18/07/2007 22:34,Prostitution,-75.147235,40.014044
27/02/2013 23:19,Homicide,-75.242661,39.95896
30/12/2009 23:04,Prostitution,-75.122562,39.99148
20/07/2011 20:07,Public Drunkenness,-75.232921,39.936723
10/11/2010 22:52,Prostitution,-75.129642,39.987608
30/06/2010 23:07,Liquor Law Violations,-75.024348,40.048914
05/02/2016 11:44,Prostitution,-75.108741,39.999085
11/06/2009 01:00,Homicide,-75.131208,40.019586
19/09/2013 20:03,Prostitution,-75.096642,40.00575
20/01/2006 01:21,Prostitution,-75.15344,39.989133
19/07/2012 23:26,Prostitution,-75.209806,39.967733
14/11/2007 15:11,Prostitution,-75.167007,39.965273
31/05/2007 22:39,Prostitution,-75.144725,40.014096
05/02/2015 03:37,Prostitution,-75.223324,39.968295
15/12/2008 22:01,Public Drunkenness,-75.166591,39.904459
17/10/2006 01:02,Prostitution,-75.104232,40.001497
31/10/2015 21:22,Homicide,-75.159075,40.046944
13/03/2015 18:54,Public Drunkenness,-75.156505,39.952574
02/09/2011 10:50,Prostitution,-75.096881,40.005517
23/05/2007 22:33,Prostitution,-75.106469,40.000267
28/09/2010 22:31,Prostitution,-75.104232,40.001497
17/04/2014 13:41,Prostitution,-75.037691,40.028759
06/02/2009 21:14,Liquor Law Violations,-75.073217,40.025448
28/03/2006 01:03,Prostitution,-75.161091,39.94649
20/09/2015 18:43,Public Drunkenness,-75.16393,39.953509
27/09/2016 10:32,Prostitution,-75.127384,39.988844
27/02/2011 02:47,Homicide,-75.13955,39.995127
28/05/2008 21:29,Liquor Law Violations,-75.028987,40.048701
25/06/2009 22:14,Prostitution,-75.127416,39.988827
18/06/2008 22:55,Prostitution,-75.077259,40.016849
31/10/2008 21:46,Liquor Law Violations,-75.080041,40.07132
07/04/2011 15:25,Homicide,-75.245622,39.955203
26/12/2014 11:58,Public Drunkenness,-75.078182,40.022416
17/06/2011 22:24,Prostitution,-75.238405,39.922646
21/05/2011 20:19,Public Drunkenness,-75.2392,39.922215
29/01/2011 20:45,Prostitution,-75.11337,39.996571
16/06/2009 14:03,Prostitution,-75.11801,39.994007
25/03/2008 14:22,Public Drunkenness,-75.199264,39.951231
21/05/2016 21:36,Prostitution,-75.081259,40.019479
13/06/2009 19:25,Family Abuse,-75.139604,40.062838
19/09/2012 22:56,Prostitution,-75.147235,40.014044
24/03/2016 21:55,Liquor Law Violations,-75.156609,39.959723
31/05/2012 20:09,Liquor Law Violations,-75.050003,40.022511
18/08/2015 22:19,Prostitution,-75.061853,40.016384
23/08/2007 01:40,Prostitution,-75.041006,40.027168
14/07/2011 14:53,Public Drunkenness,-75.142364,39.936522
26/08/2013 18:12,Family Abuse,-75.022166,40.087104
18/01/2013 12:09,Prostitution,-75.055661,40.019579
02/05/2007 22:52,Prostitution,-75.15158,40.053022
09/02/2010 22:07,Prostitution,-75.125492,39.989889
14/11/2010 18:36,Family Abuse,-75.143729,40.043832
28/01/2015 15:44,Homicide,-75.236383,39.914676
03/05/2007 22:31,Prostitution,-75.238405,39.922646
26/08/2016 05:13,Prostitution,-75.147285,40.014117
08/02/2006 01:06,Prostitution,-75.207624,39.966375
14/06/2007 23:05,Prostitution,-75.081259,40.019479
11/06/2008 22:26,Liquor Law Violations,-75.031332,40.051381
10/10/2014 09:33,Family Abuse,-75.026682,40.037869
18/09/2009 22:51,Liquor Law Violations,-75.137216,39.960244
08/05/2010 21:09,Liquor Law Violations,-75.084831,40.074033
07/06/2012 23:15,Prostitution,-75.147655,40.008819
22/06/2009 13:10,Prostitution,-75.111001,39.997854
23/09/2016 21:42,Prostitution,-75.100131,40.001042
04/11/2010 21:58,Prostitution,-75.097981,40.004896
