Latitude [°],Longitude [°],Was cleaned,Access type,Distance from the road [m],Location type,Waste area [m²],Waste volume [m³],Organic waste [%],Construction waste [%],Mixed/non-recyclable waste [%],Bulky waste [%],Tires [%],Motor vehicles [%],Hazardous/toxic waste [%],Asbestos panels [%],Barrels with hazardous/unknown liquid,Waste partially buried?,Importance assessment,IRSOP,Duty of Slovenia Forest Service,Entry creation date,Last modification date,Geopedia URL,ID,Name,Description/quantity of hazardous waste,Municipality,Land registry property ID
continuous,continuous,0 1,Inaccessible Off-road On\ foot Private\ car Unsafe\ access,continuous,Basin Plane Slope,continuous,continuous,0 1 2 3 4 5 6 8 9 10 14 15 16 18 19 20 25 27 30 33 34 35 37 38 40 43 44 45 47 48 49 50 53 54 55 58 59 60 62 65 66 67 68 70 73 74 75 78 79 80 83 84 85 88 90 92 93 94 95 96 97 98 99 100,continuous,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 23 25 29 30 33 34 35 38 40 43 45 48 49 50 53 55 59 60 61 62 65 68 69 70 73 75 77 80 83 84 85 89 90 93 94 95 98 99 100,0 1 2 3 4 5 6 7 8 9 10 11 12 15 17 18 19 20 22 23 24 25 29 30 33 34 35 38 39 40 44 45 49 50 54 55 59 60 63 65 66 67 69 70 71 72 74 75 77 78 79 80 82 84 85 89 90 92 93 94 95 96 98 99 100,0 1 2 3 4 5 7 10 11 15 20 25 30 40 50 60 65 70 75 80 90 95 100,0 1 5 10 15 20 25 30 35 40 50 60 70 75 80 85 90 95 98 99 100,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 17 18 19 20 23 25 30 33 35 37 40 45 49 50 55 57 60 65 67 69 70 75 80 85 90 93 94 95 99 100,0 1 2 3 4 5 6 8 10 12 15 20 23 25 30 33 35 40 50 55 60 67 70 75 80 85 90 95 98 99 100,0 1,0 1,continuous,Celje Koper Kranj Ljubljana Maribor Murska\ Sobota Nova\ Gorica Novo\ Mesto Novo\ mesto,0 1,time,time,string,continuous,string,string,string,string
,,,,,,,,,,,,,,,,,,,,,,,meta,meta,meta,meta,meta,meta
46.1458814678,14.5481365239,0,Private car,20.0,Plane,15.0,25.0,,90.0,,,,,,10,0,0,7.0,Ljubljana,0,2010-03-28,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F1304,1304.0,,salonitke,Mengeš,1205-724
46.0693304619,13.6249143776,0,Private car,2.0,Plane,50.0,50.0,,90.0,8,,,,2,,0,0,13.0,Nova Gorica,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1305,1305.0,,DEPONIJA OB POTOKU RAZNEGA GRADBENEGA MATERIALA.,Kanal,1314-661
46.0633231403,13.6251669615,0,Private car,0.0,Plane,5.0,1.0,,,100,,,,,,0,0,1.0,Nova Gorica,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1306,1306.0,,LEGLO PLOČEVINK,Kanal,1314-328
46.0407850825,13.5897952876,0,On foot,5.0,Slope,30.0,25.0,50,30.0,10,10,,,,,0,0,9.0,Nova Gorica,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1307,1307.0,,,Kanal,2402-3106/8
46.0289108596,13.5929262509,0,Private car,0.0,Plane,150.0,100.0,,70.0,10,10,,,10,,0,0,24.0,Nova Gorica,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F1308,1308.0,,"NEVARNI ODPADKI: PNEVMATIKE, ASFALT, EMBALAŽA OD KEMIKALIJ.BELA TEHNIKA, POHIŠTVO, KERAMIČNE PLOŠČICE, BETON, OPEKA, PLASTIČNA EMBALAŽA,DROBNE KOVINE...",Kanal,611-775
46.1406125723,14.6291273163,0,Private car,0.0,Plane,3.0,10.0,90,0.0,0,0,,,10,,0,0,6.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1309,1309.0,,Nevarni odpadki: 4 avtomobilske gume.,Domžale,906-1413/11
46.1417707034,14.6094581876,0,Private car,0.0,Plane,300.0,50.0,30,70.0,0,0,,,,,0,0,4.0,Ljubljana,0,2010-03-28,2012-03-01,http://www.geopedia.si/?params=T1199_L6357_F1310,1310.0,,,Domžale,906-1308/4
46.1588917761,14.5527559208,0,Private car,5.0,Plane,2000.0,100.0,5,60.0,,30,,,3,2,0,0,18.0,Ljubljana,0,2011-02-22,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F1312,1312.0,,"Na področju kamnoloma se nahajajo plastika, gradbeni material, purpen,plastične kantice, kolut za telefonski kabel in vrsta drugih odpadkov, tudisalonitke.",Mengeš,1376-2235
46.1717066089,14.5557472599,1,Private car,50.0,Plane,40.0,2.0,30,70.0,,,,,,,0,0,,Ljubljana,0,2011-02-22,2011-03-02,http://www.geopedia.si/?params=T1199_L6357_F1313,1313.0,,,Mengeš,1376-2925/2
46.1616386851,14.5137593406,1,On foot,15.0,Plane,3.0,2.0,,100.0,,,,,,,0,0,1.0,Ljubljana,0,2010-03-28,2015-04-02,http://www.geopedia.si/?params=T1199_L6357_F1314,1314.0,,,Vodice,759-785/14
46.6250980502,16.2399655929,0,Off-road,5.0,Plane,20.0,10.0,,,,,,,,,0,0,0.0,Murska Sobota,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F1315,1315.0,,,Beltinci,399-193/2
46.439417379,15.2060549919,0,Private car,5.0,Basin,50.0,50.0,20,30.0,30,,10,,10,,0,0,16.0,Celje,0,2010-03-28,2011-04-03,http://www.geopedia.si/?params=T1199_L6357_F1319,1319.0,,Na odlagališče je približno osem avtomobilov in tovorno vozilo. Prisotne sotudi pnevmatike.,Mislinja,2029-884/1
46.0915832029,13.7012161652,1,Private car,1.0,Plane,10.0,2.0,,,,,,,,100,0,0,,Nova Gorica,0,2010-03-28,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F1317,1317.0,,salonitne plošče,Kanal,2399-2352/5
46.5309394543,15.0894310062,1,Private car,1.0,Plane,300.0,100.0,50,0.0,10,0,,,40,,0,0,36.0,Maribor,0,2010-03-28,2012-02-15,http://www.geopedia.si/?params=T1199_L6357_F1318,1318.0,,,Slovenj Gradec,220-1744/1
46.6031595853,16.2593188604,0,Private car,5.0,Plane,4.0,2.0,,,,,,,,,0,0,0.0,Murska Sobota,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F1320,1320.0,,,Beltinci,399-2935
46.0999185688,13.7222967474,0,Private car,1.0,Basin,40.0,2.0,,,,,,,,100,0,0,4.0,Nova Gorica,0,2010-03-28,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F1321,1321.0,,"salonitne plošče, razpršene po kotanji",Kanal,2399-3155/4
46.4278270621,15.156438812,0,Private car,5.0,Basin,100.0,50.0,10,20.0,,,,,70,,0,0,25.0,Celje,0,2010-03-28,2011-04-03,http://www.geopedia.si/?params=T1199_L6357_F1322,1322.0,,"Odlagališče je v peskokopu v dolomitu. Približno 7 avtomobilov in nekajstrojev ter gum. Vsebuje tudi gradbene odpadke in naravne, kot je les in pesek.Lastnik ne želi čiščenja odlagališča in je tudi prepovedal objavo fotografij.",Mislinja,641-442/1
45.5520651053,15.2267633446,0,Private car,10.0,Plane,100.0,10.0,10,40.0,40,5,,,5,,0,0,3.0,Novo Mesto,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1323,1323.0,,"nekaj praznih plastenk in pločevink antifriza, motornih olj in masti",Črnomelj,285-1790
46.6408518218,16.2871538697,0,Off-road,10.0,Plane,30.0,25.0,,,,,,,,,0,0,0.0,Murska Sobota,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F1324,1324.0,,ob tej gozdni poti je več manjših divjih odlagališč. Taa naj bo samo da sevidi kje približno so,Turnišče,1692-1404
46.1324020066,14.9705251589,0,Private car,5.0,Slope,10.0,2.0,,20.0,30,50,,,,,0,0,2.0,Ljubljana,0,2010-03-30,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1325,1325.0,,,Zagorje ob Savi,1073-364/2
46.4173613234,15.9287221066,0,Private car,20.0,Basin,1000.0,50.0,20,20.0,20,20,,,,20,0,0,21.0,Maribor,0,2010-03-28,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F1326,1326.0,,"Večja količina salonitnih plošč ( cca 5-6 m3), precej posod za avtomobilsketekočine (olja,...?)",Ptuj,2181-129/1
46.4242851532,15.9202918608,1,Off-road,220.0,Plane,400.0,250.0,,30.0,30,20,,,10,10,0,0,49.0,Maribor,0,2010-03-28,2013-04-24,http://www.geopedia.si/?params=T1199_L6357_F1328,1328.0,,"salonitne plošče, gume in še kaj najverjetneje( v spodnjih plasteh)...",Ptuj,2354-906/3
46.4250151563,15.9212539173,1,Off-road,110.0,Plane,300.0,100.0,,70.0,20,10,,,,,0,0,14.0,Maribor,0,2010-03-28,2015-03-10,http://www.geopedia.si/?params=T1199_L6357_F1329,1329.0,,,Ptuj,2354-909/3
46.4255666003,15.9220438493,1,Private car,5.0,Plane,100.0,2.0,,20.0,50,20,,,10,,0,0,3.0,Maribor,0,2010-03-28,2014-04-08,http://www.geopedia.si/?params=T1199_L6357_F1330,1330.0,,gume ...,Ptuj,2354-911/4
46.4263860203,15.9230725159,1,Off-road,200.0,Plane,300.0,250.0,,30.0,30,20,,,10,10,0,0,49.0,Maribor,0,2010-03-28,2013-10-09,http://www.geopedia.si/?params=T1199_L6357_F1331,1331.0,,"salonitne plošče, gume in še kaj ( najverjetneje v spodnjih slojih...)",Ptuj,2354-929/3
46.4204946625,15.8991527093,1,Off-road,20.0,Plane,15.0,25.0,,,,,,,100,,0,0,14.0,Maribor,0,2010-03-28,2012-11-08,http://www.geopedia.si/?params=T1199_L6357_F1332,1332.0,,dva neregistrirana osebna avtomobila...,Ptuj,807-71
46.4505901884,15.8592572244,1,Private car,20.0,Slope,4.0,1.0,,,100,,,,,,0,0,1.0,Maribor,0,2010-03-12,2012-05-08,http://www.geopedia.si/?params=T1199_L6357_F1333,1333.0,,,Ptuj,2368-396/3
46.4325821743,15.8777119392,1,On foot,70.0,Slope,2.0,1.0,,,,100,,,,,0,0,1.0,Maribor,0,2010-04-18,2012-12-13,http://www.geopedia.si/?params=T1199_L6357_F1334,1334.0,,,Ptuj,2366-354/31
46.4143412796,15.8711883878,1,Private car,10.0,Plane,2.0,1.0,,,50,,,,50,,0,0,2.0,Maribor,0,2010-04-18,2012-03-02,http://www.geopedia.si/?params=T1199_L6357_F1335,1335.0,medobčinska inšpekcija,avtomob. guma v vodi ob robu spusta v jezero...,Ptuj,802-4169/1
45.9068598931,14.7995188493,1,Off-road,30.0,Plane,70.0,10.0,20,40.0,10,20,,,,10,0,0,5.0,Ljubljana,0,2010-03-28,2012-03-11,http://www.geopedia.si/?params=T1199_L6357_F1336,1336.0,,10 salonitnih plošč,Ivančna Gorica,249-161
46.4253488204,15.850299522,1,Private car,5.0,Plane,300.0,50.0,,80.0,15,,,,5,,0,0,15.0,Maribor,0,2010-04-18,2012-12-18,http://www.geopedia.si/?params=T1199_L6357_F1337,1337.0,,2 avtom. gumi...,Ptuj,802-813/3
46.4052405252,15.8777024878,1,Private car,25.0,Plane,300.0,1.0,,,80,20,,,,,0,0,1.0,Maribor,0,2010-04-18,2015-04-13,http://www.geopedia.si/?params=T1199_L6357_F1338,1338.0,,,Ptuj,802-2515/7
46.4051450747,15.8784162776,1,Private car,2.0,Plane,2.0,1.0,,,100,,,,,,0,0,1.0,Maribor,0,2010-04-18,2012-09-24,http://www.geopedia.si/?params=T1199_L6357_F1339,1339.0,,,Ptuj,802-4217/1
45.8970817511,14.7908040134,0,Off-road,30.0,Plane,100.0,10.0,,20.0,10,10,,,60,,0,0,8.0,Ljubljana,0,2010-03-12,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1340,1340.0,,"kup izolacije in ostanki avtomobilov (motor, hladilnik, akumulatorji)",Ivančna Gorica,248-1031/1
46.4027446704,15.8805236162,1,On foot,100.0,Plane,4.0,2.0,,,100,,,,,,0,0,2.0,Maribor,0,2010-04-18,2012-09-24,http://www.geopedia.si/?params=T1199_L6357_F1341,1341.0,,,Ptuj,802-4327/5
46.0919659381,14.5273168899,1,On foot,5.0,Plane,7.0,1.0,,25.0,25,50,,,,,0,0,1.0,Ljubljana,0,2010-03-28,2015-04-16,http://www.geopedia.si/?params=T1199_L6357_F1342,1342.0,,,Ivančna Gorica,248-1515/2
45.8935363177,14.7906240383,1,Off-road,50.0,Plane,500.0,50.0,,70.0,5,10,,,15,,0,0,16.0,Ljubljana,0,2010-03-28,2012-03-11,http://www.geopedia.si/?params=T1199_L6357_F1343,1343.0,,"gume, avtomobilska pločevina, plastične cevi, nagrobne sveče",Ivančna Gorica,248-909
45.88579667,14.7801912858,0,Off-road,50.0,Plane,250.0,100.0,50,47.0,1,1,,,,1,0,0,13.0,Ljubljana,0,2010-03-28,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F1344,1344.0,,salonitne plošče,Ivančna Gorica,272-598
45.88634374,14.7887828594,0,Off-road,100.0,Plane,200.0,100.0,,,50,,,,50,,0,0,32.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1345,1345.0,,"ostanki avtomobilov (pločevina, akumulator)",Ivančna Gorica,272-454
45.9355477634,14.8292171004,0,Private car,5.0,Plane,1.0,1.0,,,,50,,,50,,0,0,2.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1346,1346.0,,dve pnevmatiki,Ivančna Gorica,1757-165/2
45.7291937326,13.8719262399,1,Off-road,500.0,Plane,20.0,25.0,,,30,70,,,,,0,0,7.0,Koper,0,2010-04-18,2016-02-16,http://www.geopedia.si/?params=T1199_L6357_F1347,1347.0,,Iztrošen štedilnik in razni kosovni odpadki,Sežana,2255-1453/1
46.544759039,15.6877649371,0,Private car,2.0,Plane,1.0,2.0,,,,,,,,100,0,0,4.0,Maribor,0,2010-04-02,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F1413,1413.0,,Salonitne plošče.,Maribor,467-11/5
46.1748176509,14.3254984684,0,On foot,100.0,Slope,500.0,2.0,0,50.0,50,0,,,,,0,0,1.0,Kranj,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1349,1349.0,,Jih ni,Škofja Loka,2648-629/2
46.0943817113,14.5372025681,0,On foot,10.0,Plane,8.0,2.0,50,0.0,50,0,,,,,0,0,2.0,Kranj,0,2010-03-14,2015-04-16,http://www.geopedia.si/?params=T1199_L6357_F1350,1350.0,,,Kranj,1476-513
46.2355713749,14.3836186362,0,Private car,0.0,Plane,20.0,1.0,5,90.0,5,0,,,,,0,0,1.0,Kranj,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F1351,1351.0,,,Kranj,1476-547/1
46.2402103733,14.3779780131,1,Private car,10.0,Plane,10.0,2.0,50,0.0,50,0,,,,,0,0,,Kranj,0,2010-03-28,2011-04-15,http://www.geopedia.si/?params=T1199_L6357_F1352,1352.0,,,Kranj,1451-372/1
46.1098625401,15.5490155189,1,On foot,50.0,Basin,100.0,10.0,30,10.0,20,40,,,,,0,0,6.0,Celje,0,2010-03-28,2012-03-26,http://www.geopedia.si/?params=T1199_L6357_F1354,1354.0,,,Kozje,909-56
46.2654857379,15.2069201569,0,Private car,2.0,Slope,10.0,2.0,50,45.0,,,,,,5,0,0,1.0,Celje,0,2010-03-28,2016-05-05,http://www.geopedia.si/?params=T1199_L6357_F6450,6450.0,Zalog Zaloška gorica 2,Pred poslopjem na desni strani manjši kup salonitnih plošč.,Žalec,803-*19
46.198374,13.8946118458,0,Private car,50.0,Slope,100.0,25.0,,,20,70,,,10,,0,0,10.0,Nova Gorica,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1358,1358.0,,"Bivše vaško odlagališče odsluženih avtov, bele tehnike ,plastike, raznepločevine.",Tolmin,1100-741/6
46.2613929429,14.3338290846,1,Private car,1.0,Slope,20.0,2.0,,,100,,,,,,0,0,,Kranj,0,2010-03-28,2015-08-06,http://www.geopedia.si/?params=T1199_L6357_F1359,1359.0,,odpadki so razpršeni po pobočju ob cesti!,Kranj,2016-242/3
46.1833901835,13.8204686262,0,Private car,15.0,Slope,20.0,25.0,10,,10,70,,,10,,0,0,10.0,Nova Gorica,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1360,1360.0,,"Deponija avtomobilske pločevine,embalaže lakov, barve, plastike,gume.",Tolmin,1100-403/5
46.166084321,13.8010648576,0,Private car,5.0,Slope,5.0,1.0,,,90,10,,,,,0,0,1.0,Nova Gorica,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1361,1361.0,,"Razna embalaža, pločevina pod cesto.",Tolmin,1100-203/68
46.1054367032,15.0301832729,1,Private car,4.0,Slope,20.0,10.0,,,,100,,,,,0,0,4.0,Ljubljana,0,2010-03-28,2012-02-19,http://www.geopedia.si/?params=T1199_L6357_F1362,1362.0,,,Trbovlje,471-613/1
45.9188391998,15.5630625743,0,Private car,50.0,Plane,500.0,50.0,20,50.0,10,10,,,10,,0,0,15.0,Novo Mesto,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F1364,1364.0,,,Brežice,965-6404
46.560000446,15.652272518,0,Private car,20.0,Plane,5.0,10.0,40,30.0,20,10,,,,,0,0,3.0,Maribor,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F1366,1366.0,,"Divje odlagališče je na dvorišču stavbe Partizanska cesta 12, Maribor.Dvorišče je neasfaltirano, v desnem kotu se zbirajo klošarji in odlagajorazlične odpadke, kar je povzročilo, da tudi najemniki v stavbi odlagajo večjeodpadke kar na kup. Na dvorišču je kontejner za papir za Lesnino. Dostop jemožen tudi s tovornjakom.",Maribor,468-1225/1
46.1649609668,14.4232938043,1,Private car,0.0,Plane,1.0,1.0,0,0.0,0,100,,,,,0,0,,Ljubljana,0,2010-03-28,2011-04-14,http://www.geopedia.si/?params=T1199_L6357_F1367,1367.0,,,Medvode,1864-234
46.7317831752,16.2404854904,1,Private car,20.0,Plane,1000.0,100.0,5,80.0,5,10,,,,,0,0,14.0,Murska Sobota,0,2010-04-03,2015-04-14,http://www.geopedia.si/?params=T1199_L6357_F1368,1368.0,,,Moravske Toplice,372-1318/1
46.16778856,14.4184469536,0,Private car,0.0,Slope,50.0,25.0,70,15.0,10,5,,,,,0,0,2.0,Kranj,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1369,1369.0,,Cela dolžina odseka te ceste v gozdu,Kranj,748-207
46.1804943375,14.3927961537,0,Private car,10.0,Plane,10000.0,25.0,20,70.0,18,0,,,,2,0,0,8.0,Kranj,0,2010-03-28,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F1370,1370.0,,"nevarni odpadki - plastenke od odpadnih olj,salonitke 10 kosov",Kranj,1152-418
46.1963910103,14.3874514555,0,Private car,10.0,Basin,20.0,10.0,70,20.0,10,0,,,,,0,0,2.0,Kranj,0,2010-03-28,2011-04-15,http://www.geopedia.si/?params=T1199_L6357_F1371,1371.0,,"Ne vem, kaj je pod snegom še",Kranj,777-190
46.2151801595,14.3665181372,1,Private car,30.0,Basin,30.0,25.0,50,30.0,10,10,,,,,0,0,5.0,Kranj,0,2010-03-28,2015-08-06,http://www.geopedia.si/?params=T1199_L6357_F1372,1372.0,,,Kranj,1005-583/1
46.2027315567,14.3671665962,1,Private car,1.0,Plane,4.0,1.0,0,0.0,10,90,,,,,0,0,1.0,Kranj,0,2010-03-28,2012-03-31,http://www.geopedia.si/?params=T1199_L6357_F1374,1374.0,,,Kranj,1714-2871
46.2020270573,14.361823122,0,Private car,1.0,Plane,4.0,2.0,0,90.0,10,0,,,,,0,0,1.0,Kranj,0,2010-03-09,2011-04-15,http://www.geopedia.si/?params=T1199_L6357_F1375,1375.0,,,Kranj,1714-2866
46.2017050055,14.3605440382,0,Private car,10.0,Plane,50.0,25.0,0,30.0,10,60,,,,,0,0,7.0,Kranj,0,2010-03-28,2011-04-15,http://www.geopedia.si/?params=T1199_L6357_F1376,1376.0,,,Kranj,1714-2866
46.1857176685,14.3655353584,0,Private car,1.0,Plane,10.0,1.0,10,60.0,20,5,,,5,,0,0,2.0,Kranj,0,2010-03-28,2011-04-15,http://www.geopedia.si/?params=T1199_L6357_F1377,1377.0,,gume,Kranj,777-466/1
46.1925811194,14.3524360422,0,Private car,2.0,Plane,10.0,10.0,0,0.0,10,10,,,80,,0,0,7.0,Kranj,0,2010-03-28,2011-04-15,http://www.geopedia.si/?params=T1199_L6357_F1378,1378.0,,gume,Kranj,2026-3040
46.167678811,13.7690830676,0,Private car,5.0,Basin,100.0,500.0,10,70.0,10,5,,,,5,0,0,36.0,Nova Gorica,0,2010-03-28,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F1379,1379.0,,"Vaška deponija gradbenih in drugih odpadkov, pločevina, plastika, raznaembalaža, salonit..",Tolmin,433-13
46.1665059749,13.7738099081,0,Private car,50.0,Plane,10.0,10.0,,,,100,,,,,0,0,4.0,Nova Gorica,0,2010-03-15,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1380,1380.0,,karoserija- kombi,Tolmin,433-398
46.1775638663,13.7637982048,0,Unsafe access,30.0,Slope,20.0,25.0,10,20.0,40,20,,,10,,0,0,11.0,Nova Gorica,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1381,1381.0,,veliko odlagališče raznih odpadkov v zelo strmi grapi pod cesto.,Tolmin,2394-636/25
46.1804412332,13.7561692773,0,Private car,40.0,Slope,400.0,25.0,40,20.0,20,10,,,10,,0,0,10.0,Nova Gorica,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1382,1382.0,,"Veliko vaško odlagališče raznega materiala na pobočje potoka Gadiča-gume,plastika pločevina, azbest..Deponija več tisoč m3 je bila pred leti žesanirana delno, vendar je zopet postala aktivna.",Tolmin,2394-37/1
45.891503406,13.795764448,0,Private car,400.0,Plane,1000.0,1.0,,30.0,30,30,,,10,,0,0,2.0,Nova Gorica,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1383,1383.0,,"Divje odlagališče predvsem kosovnih, gradbenih in komunalnih odpadkov napovršini recimo športnega igrišča. do odlagališča vodi makadamska pot primernaza višji avto, kombi, traktor",Ajdovščina,2192-1328/14
45.8360346866,15.4395771748,0,On foot,30.0,Basin,100.0,50.0,20,20.0,20,20,,,20,,0,0,18.0,Novo mesto,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1384,1384.0,,"avtomobili, avtomobilske pnevmatike, akumulatorji, plastične posode kemikalij(za motorna olja, gradbeniške snovi...), zarjavela pločevina...ni da ni...",Kostanjevica na Krki,2120-756
46.1363276864,14.6202517532,0,Private car,0.0,Plane,200.0,25.0,,80.0,,20,,,,,0,0,6.0,Ljubljana,0,2010-03-09,2015-02-01,http://www.geopedia.si/?params=T1199_L6357_F1385,1385.0,,,Domžale,906-1414/41
46.1245158235,14.6048183729,0,Private car,0.0,Plane,1500.0,100.0,20,20.0,20,20,,,,20,0,0,28.0,Ljubljana,0,2010-03-28,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F1386,1386.0,,salonitne plošče,Domžale,903-146
46.1225600696,14.6064626854,0,Private car,0.0,Plane,500.0,500.0,,30.0,,20,10,20,20,,1,0,105.0,Ljubljana,0,2010-03-28,2012-02-06,http://www.geopedia.si/?params=T1199_L6357_F1387,1387.0,,,Domžale,903-518/2
46.1078322783,14.5913422245,0,Private car,0.0,Plane,40.0,25.0,60,40.0,,,,,,,0,0,4.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1388,1388.0,,,Domžale,1966-468/6
46.1118594606,14.5953745572,0,Private car,0.0,Plane,200.0,25.0,30,70.0,,,,,,,0,0,4.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1389,1389.0,,,Domžale,1966-219
46.1324277752,14.6005817061,0,Private car,0.0,Plane,4.0,1.0,,,100,,,,,,0,0,1.0,Ljubljana,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F1390,1390.0,,,Domžale,908-4620/12
46.1268585217,14.6057980101,0,Private car,30.0,Plane,300.0,10.0,90,,10,,,,,,0,0,2.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1391,1391.0,,,Domžale,903-135/1
46.1289367521,14.6005681188,0,Private car,10.0,Plane,400.0,10.0,30,70.0,,,,,,,0,0,1.0,Ljubljana,0,2010-03-23,2010-03-23,http://www.geopedia.si/?params=T1199_L6357_F1392,1392.0,,,Domžale,908-5398/8
46.1276673417,14.6003443688,0,Private car,0.0,Plane,10.0,2.0,100,,,,,,,,0,0,1.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1393,1393.0,,,Domžale,903-5/1
46.113517318,14.608972149,1,On foot,50.0,Plane,2000.0,25.0,50,40.0,,,,,,10,0,0,,Ljubljana,0,2011-02-09,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F1394,1394.0,,sodi in salonitne plošče,Domžale,903-183/10
46.1398523014,14.4550597104,0,On foot,50.0,Plane,50.0,2.0,,,100,,,,,,0,0,1.0,Ljubljana,0,2010-03-28,2017-01-05,http://www.geopedia.si/?params=T1199_L6357_F3624,3624.0,,,Medvode,2158-797
46.1300163846,14.6057366597,0,Private car,0.0,Plane,1000.0,50.0,90,10.0,,,,,,,0,0,4.0,Ljubljana,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F1396,1396.0,,,Domžale,908-5387/27
46.1094637668,14.5921710108,0,Private car,2.0,Plane,20.0,10.0,30,70.0,,,,,,,0,0,1.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1397,1397.0,,,Domžale,1966-339/6
46.1274206928,14.6044482134,0,Private car,0.0,Plane,400.0,250.0,,,,,,,,,0,0,0.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1398,1398.0,,,Domžale,903-131/1
46.0933974454,14.5232051209,0,Private car,20.0,Plane,25.0,25.0,,70.0,,30,,,,,0,0,9.0,Ljubljana,0,2010-03-09,2015-03-25,http://www.geopedia.si/?params=T1199_L6357_F1400,1400.0,,,Ljubljana,2191-2280/14
46.1227269877,14.6026962025,0,Private car,0.0,Plane,10.0,1.0,33,33.0,34,,,,,,0,0,1.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F1401,1401.0,,,Domžale,903-529/271
46.1266021319,14.6045058327,0,Private car,0.0,Plane,1000.0,10.0,33,,34,,,,,33,0,0,5.0,Ljubljana,0,2010-03-28,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F1402,1402.0,,1 m3 salonitnih plošč.,Domžale,903-137/2
46.1145337766,14.6089002736,1,Private car,300.0,Plane,1300.0,50.0,45,45.0,,10,,,,,0,0,,Ljubljana,0,2011-02-09,2011-03-14,http://www.geopedia.si/?params=T1199_L6357_F1403,1403.0,,,Domžale,903-183/92
46.0894612404,14.5243252747,0,Private car,10.0,Plane,40.0,25.0,,,30,70,,,,,0,0,11.0,Ljubljana,0,2010-03-28,2015-03-25,http://www.geopedia.si/?params=T1199_L6357_F1404,1404.0,,,Ljubljana,2191-2326
