FIOStevilkaZadeve,KlasifikacijaNesrece,UpravnaEnotaStoritve,DatumPN,UraPN,VNaselju,VrstaCeste,SifraOdsekaUlice,StacionazaDogodka,Lokacija,VzrokNesrece,TipNesrece,VremenskeOkoliscine,StanjePrometa,StanjeVozisca,VrstaVozisca,GeoKoordinata X,GeoKoordinata Y,SifraCesteNaselja,TekstCesteNaselja,TekstOdsekaUlice
833161.0,LAŽJA TELESNA POŠKODBA,BREŽICE,2016-02-01,14.0,0,LOKALNA CESTA,0.0,721.0,CESTA,NEPRAVILNO PREHITEVANJE,NALETNO TRČENJE,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,15.60800744207,45.930366625034,02621,024652 CUNDROVEC-MALI VRH,NI ODSEKOV
852445.0,BREZ POŠKODBE,BREŽICE,2016-11-14,6.0,0,LOKALNA CESTA,0.0,1000.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V OBJEKT,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,15.609091218116,45.932772260183,02621,024652 CUNDROVEC-MALI VRH,NI ODSEKOV
855750.0,BREZ POŠKODBE,BREŽICE,2016-12-27,9.0,0,LOKALNA CESTA,0.0,2300.0,CESTA,NEPRILAGOJENA HITROST,BOČNO TRČENJE,OBLAČNO,NORMALEN,MOKRO,HRAPAV  ASFALT / BETON,15.599213754023,45.941147656766006,02625,024661 ŠENTLEN.-GLOGOV B.,NI ODSEKOV
847299.0,LAŽJA TELESNA POŠKODBA,LENDAVA,2016-08-20,7.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE,MEGLA,REDEK,MOKRO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
847820.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-09-09,17.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE,JASNO,REDEK,SUHO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
854505.0,BREZ POŠKODBE,LENDAVA,2016-11-08,17.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,ČELNO TRČENJE,DEŽEVNO,GOST,MOKRO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
844687.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-07-28,21.0,0,LOKALNA CESTA,0.0,0.0,CESTA,OSTALO,POVOŽENJE ŽIVALI,OBLAČNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
842960.0,LAŽJA TELESNA POŠKODBA,GORNJA RADGONA,2016-06-30,9.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
845442.0,LAŽJA TELESNA POŠKODBA,LJUTOMER,2016-08-08,8.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
845736.0,LAŽJA TELESNA POŠKODBA,LENDAVA,2016-08-15,8.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
852896.0,BREZ POŠKODBE,LENDAVA,2016-11-20,16.0,0,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,OPLAŽENJE,JASNO,REDEK,SUHO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
850390.0,LAŽJA TELESNA POŠKODBA,LJUTOMER,2016-10-17,7.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,ČELNO TRČENJE,MEGLA,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
831676.0,BREZ POŠKODBE,LENDAVA,2016-01-07,6.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEUSTREZNA VARNOSTNA RAZDALJA,BOČNO TRČENJE,OBLAČNO,GOST,MOKRO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
841684.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-06-14,7.0,1,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,OPLAŽENJE,OBLAČNO,GOST,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
845077.0,LAŽJA TELESNA POŠKODBA,NOVO MESTO,2016-07-31,15.0,0,LOKALNA CESTA,0.0,0.0,CESTA,OSTALO,PREVRNITEV VOZILA,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
836686.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-04-03,15.0,0,LOKALNA CESTA,0.0,0.0,CESTA,OSTALO,POVOŽENJE ŽIVALI,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
851018.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-10-20,8.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE,DEŽEVNO,NORMALEN,MOKRO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
854730.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-12-17,9.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
839395.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-05-10,17.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEUSTREZNA VARNOSTNA RAZDALJA,NALETNO TRČENJE,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
854538.0,BREZ POŠKODBE,LENDAVA,2016-10-29,8.0,0,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,TRČENJE V STOJEČE / PARKIRANO VOZILO,JASNO,REDEK,SUHO,MAKADAM,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
852725.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-11-19,9.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V STOJEČE / PARKIRANO VOZILO,NEZNANO,NEZNANO,OSTALO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
844623.0,LAŽJA TELESNA POŠKODBA,LENDAVA,2016-07-27,13.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,OSTALO,OBLAČNO,REDEK,SUHO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
831925.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-01-12,8.0,1,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,POVOŽENJE PEŠCA,JASNO,REDEK,MOKRO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
834419.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-02-19,11.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V OBJEKT,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
854699.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-12-16,16.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V OBJEKT,OBLAČNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
838864.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-05-07,15.0,0,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,BOČNO TRČENJE,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
845866.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-08-16,21.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,OPLAŽENJE,OBLAČNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
841696.0,BREZ POŠKODBE,LENDAVA,2016-06-13,5.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,OPLAŽENJE,OBLAČNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
837991.0,BREZ POŠKODBE,GORNJA RADGONA,2016-04-23,14.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,OPLAŽENJE,OBLAČNO,REDEK,SUHO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
842604.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-06-24,18.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,ČELNO TRČENJE,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
832967.0,LAŽJA TELESNA POŠKODBA,LENDAVA,2016-01-30,22.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,ČELNO TRČENJE,OBLAČNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
843044.0,LAŽJA TELESNA POŠKODBA,LJUTOMER,2016-07-04,18.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,OPLAŽENJE,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
840227.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-05-26,20.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,PREVRNITEV VOZILA,JASNO,REDEK,SUHO,MAKADAM,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
850808.0,BREZ POŠKODBE,LENDAVA,2016-10-22,14.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,ČELNO TRČENJE,JASNO,NORMALEN,SUHO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
832123.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-01-16,10.0,0,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,TRČENJE V STOJEČE / PARKIRANO VOZILO,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
832865.0,BREZ POŠKODBE,LENDAVA,2016-01-28,11.0,1,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,TRČENJE V STOJEČE / PARKIRANO VOZILO,JASNO,REDEK,MOKRO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
853930.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-12-07,8.0,1,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,TRČENJE V STOJEČE / PARKIRANO VOZILO,JASNO,REDEK,SUHO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
853145.0,LAŽJA TELESNA POŠKODBA,LENDAVA,2016-11-26,9.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,PREVRNITEV VOZILA,JASNO,NORMALEN,MOKRO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
844540.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-07-26,20.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,PREVRNITEV VOZILA,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
845432.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-08-07,8.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,PREVRNITEV VOZILA,JASNO,REDEK,SUHO,MAKADAM,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
833723.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-02-11,12.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,PREVRNITEV VOZILA,OBLAČNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
836949.0,LAŽJA TELESNA POŠKODBA,LJUTOMER,2016-04-05,14.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,PREVRNITEV VOZILA,OBLAČNO,REDEK,SUHO,MAKADAM,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
840367.0,HUDA TELESNA POŠKODBA,MURSKA SOBOTA,2016-05-28,10.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNOSTI PEŠCA,POVOŽENJE PEŠCA,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
852410.0,LAŽJA TELESNA POŠKODBA,LENDAVA,2016-10-23,15.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,OPLAŽENJE,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
831923.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-01-12,13.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,OSTALO,OBLAČNO,REDEK,MOKRO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
842271.0,BREZ POŠKODBE,LENDAVA,2016-06-22,16.0,1,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,OPLAŽENJE,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
851889.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-11-02,12.0,1,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,BOČNO TRČENJE,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
846212.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-08-20,22.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,BOČNO TRČENJE,JASNO,REDEK,SUHO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
836534.0,LAŽJA TELESNA POŠKODBA,GORNJA RADGONA,2016-03-30,12.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V OBJEKT,OBLAČNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
845715.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-08-14,22.0,1,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,TRČENJE V STOJEČE / PARKIRANO VOZILO,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
838120.0,BREZ POŠKODBE,LJUTOMER,2016-04-22,14.0,0,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,TRČENJE V STOJEČE / PARKIRANO VOZILO,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
833952.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-02-13,14.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
852232.0,BREZ POŠKODBE,LENDAVA,2016-11-10,13.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
838518.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-04-29,10.0,1,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,TRČENJE V OBJEKT,JASNO,NORMALEN,SUHO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
852931.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-11-16,11.0,1,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,TRČENJE V STOJEČE / PARKIRANO VOZILO,OBLAČNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
840998.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-06-05,0.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,PREVRNITEV VOZILA,OBLAČNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
853290.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-11-28,22.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,TRČENJE V OBJEKT,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
847435.0,BREZ POŠKODBE,LENDAVA,2016-09-08,8.0,0,LOKALNA CESTA,0.0,0.0,CESTA,PREMIKI Z VOZILOM,TRČENJE V OBJEKT,JASNO,NORMALEN,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
850320.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-10-16,0.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,TRČENJE V STOJEČE / PARKIRANO VOZILO,OBLAČNO,REDEK,MOKRO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
837566.0,LAŽJA TELESNA POŠKODBA,MURSKA SOBOTA,2016-04-17,15.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,BOČNO TRČENJE,JASNO,NORMALEN,SUHO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
833274.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-02-03,19.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEPRAVILNA STRAN / SMER VOŽNJE,TRČENJE V OBJEKT,DEŽEVNO,REDEK,MOKRO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
853999.0,BREZ POŠKODBE,LENDAVA,2016-12-06,5.0,0,LOKALNA CESTA,0.0,0.0,CESTA,NEPRILAGOJENA HITROST,TRČENJE V OBJEKT,MEGLA,REDEK,SPOLZKO,ZGLAJEN ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
837591.0,BREZ POŠKODBE,MURSKA SOBOTA,2016-04-14,17.0,1,LOKALNA CESTA,0.0,0.0,CESTA,NEUPOŠTEVANJE PRAVIL O PREDNOSTI,BOČNO TRČENJE,JASNO,REDEK,SUHO,HRAPAV  ASFALT / BETON,,,09578,OSTALE LOKALNE CESTE,NI ODSEKOV
