@RELATION 2d-10c
%
@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE CLASS {0,1,2,3,4,5,6,7,8,9}
%
@DATA
45.108,3.00187,1
45.3851,3.18066,1
47.5917,3.02068,1
42.1095,3.29195,1
47.5234,3.24008,1
49.1828,3.21735,1
47.529,3.169,1
48.2168,3.20558,1
51.3444,3.50515,1
56.7801,3.12952,1
43.376,3.11452,1
51.6813,3.05728,1
46.4761,3.33867,1
42.7989,3.28225,1
48.2147,3.33388,1
43.8398,3.21452,1
45.3259,3.32341,1
42.4857,3.12416,1
53.3488,3.00662,1
40.6202,3.31405,1
47.8093,3.37327,1
53.1658,3.05509,1
49.9901,3.30853,1
46.1864,3.25731,1
53.3771,3.31825,1
45.314,2.97054,1
43.5727,3.38909,1
46.3295,2.95946,1
52.0035,3.36222,1
47.0441,3.09477,1
46.4137,3.36186,1
48.4922,2.88955,1
47.4296,2.91461,1
52.8988,3.00928,1
51.0569,3.26932,1
45.0936,3.10621,1
51.7982,3.06612,1
50.047,3.18173,1
46.3997,3.47319,1
40.6815,3.26614,1
50.7804,3.14651,1
50.945,3.00502,1
53.8828,2.77829,1
44.4023,3.38764,1
48.7407,2.96121,1
41.8816,3.10102,1
50.8409,3.1567,1
47.3503,3.31003,1
45.4192,3.08922,1
44.6007,3.45986,1
45.7837,3.1961,1
49.0422,3.00113,1
56.4355,3.05265,1
46.9315,3.03045,1
48.6428,2.99467,1
49.1295,3.08512,1
51.5027,3.2787,1
37.855,3.03425,1
53.5651,2.99958,1
52.905,3.19491,1
52.0593,3.27347,1
42.5397,3.19292,1
46.9304,3.24266,1
47.8697,3.28761,1
48.4161,3.40762,1
49.9486,3.16326,1
48.4125,3.09489,1
50.6681,3.49667,1
46.5242,3.41124,1
50.5101,3.56525,1
48.7909,3.38031,1
52.6336,3.37625,1
46.7003,3.37347,1
51.8202,3.02563,1
52.3359,2.98045,1
51.3504,3.27101,1
47.2302,3.17823,1
49.3377,3.2678,1
47.4029,3.00885,1
44.8973,3.0369,1
51.1332,3.0311,1
49.4433,3.16302,1
50.8831,3.23256,1
43.8155,3.08257,1
48.1016,3.13554,1
37.6605,3.24663,1
51.6785,3.26059,1
49.4207,3.07894,1
48.2709,2.89937,1
51.1283,3.07072,1
47.2327,3.21821,1
45.4456,2.98875,1
57.0703,3.31448,1
51.6428,3.34001,1
51.6533,2.88381,1
50.63,3.10976,1
43.6541,3.14525,1
53.4491,3.00302,1
52.5741,3.26348,1
48.216,3.32503,1
49.352,3.24349,1
45.4329,3.44311,1
44.5352,3.18291,1
47.031,3.08933,1
48.2176,3.00225,1
52.4414,3.05054,1
46.6631,2.86697,1
47.6167,3.10341,1
48.9153,3.0127,1
50.8521,2.94517,1
42.3533,3.09931,1
51.3696,3.12944,1
51.3345,3.09018,1
43.6623,3.41723,1
46.6873,3.09785,1
47.045,3.10088,1
47.2197,3.30685,1
51.1561,3.52719,1
53.3846,2.99178,1
50.2928,3.42872,1
47.7987,3.20889,1
46.4311,3.19132,1
51.3061,2.96329,1
44.7023,3.2151,1
49.7588,2.88182,1
44.1186,3.21516,1
47.3292,3.00484,1
41.8121,3.11807,1
38.6818,3.23351,1
46.0823,3.23881,1
86.4786,43.0231,2
90.5166,46.1754,2
89.2814,44.9217,2
84.9356,51.8863,2
85.5441,47.9452,2
88.371,51.2428,2
92.554,47.3903,2
96.9115,50.199,2
85.6855,45.3967,2
90.7706,41.4383,2
88.8817,53.4048,2
94.5828,49.3152,2
85.2334,47.6874,2
86.1995,53.5157,2
85.21,50.9604,2
94.0564,48.241,2
87.3753,43.7219,2
85.3393,39.4274,2
90.9115,45.6575,2
90.5645,49.3189,2
89.8818,42.9256,2
84.6589,57.9173,2
86.5223,44.953,2
89.7094,50.688,2
87.6717,45.994,2
93.0334,49.4908,2
91.3684,49.0288,2
86.552,45.5235,2
88.4861,44.9406,2
92.2209,49.4438,2
88.5739,45.4714,2
85.721,51.4256,2
87.4631,55.8705,2
89.9723,50.5565,2
86.514,43.5825,2
85.8972,40.6694,2
94.2403,46.7061,2
89.6243,46.4683,2
83.556,39.6034,2
88.8591,44.4038,2
86.9261,45.0167,2
88.4302,48.1385,2
90.9127,43.9326,2
87.414,47.85,2
94.1278,49.1223,2
85.3379,50.7741,2
91.3123,45.6877,2
85.9216,46.2768,2
90.6827,42.4833,2
88.5398,44.8324,2
89.8672,45.4424,2
90.9917,48.2749,2
88.2335,48.5318,2
89.2344,50.5561,2
88.7892,52.6681,2
85.1552,52.6832,2
88.7378,53.8588,2
87.7561,41.5831,2
93.7412,46.4636,2
86.2986,51.1928,2
86.9153,44.3384,2
86.9154,49.1602,2
90.8443,45.4698,2
87.992,49.4111,2
89.8717,51.5685,2
88.6999,39.1328,2
89.6743,49.6021,2
87.3297,44.6507,2
89.577,47.7356,2
92.0662,48.3302,2
89.0368,50.1882,2
86.7379,45.9187,2
86.3596,48.6252,2
90.0337,45.0403,2
89.2108,48.9147,2
89.689,48.8692,2
87.2408,56.3074,2
88.3154,44.1634,2
91.1699,46.9355,2
88.8875,43.8631,2
87.283,44.4296,2
84.8534,43.1804,2
87.3335,47.2952,2
87.6505,50.5414,2
96.311,46.6471,2
88.6926,53.4257,2
88.0917,52.869,2
91.3403,50.753,2
84.0359,49.4986,2
87.2923,48.303,2
82.2091,43.2666,2
84.7917,44.2794,2
92.5688,42.5525,2
89.4485,54.3598,2
86.4943,54.3347,2
89.6788,49.456,2
85.2595,56.1845,2
89.7428,45.36,2
90.6358,50.1006,2
91.8902,49.0099,2
85.3543,46.2237,2
88.287,51.4585,2
83.311,55.9955,2
86.6745,49.6291,2
85.2198,47.3764,2
93.0694,42.2177,2
94.5288,42.8157,2
89.9834,42.0647,2
89.6189,49.5295,2
84.2698,47.9101,2
92.5819,42.961,2
91.3042,40.6204,2
85.0711,44.4821,2
90.1461,40.9955,2
92.4721,39.8382,2
86.1014,51.718,2
86.0812,49.3518,2
87.1755,47.1891,2
84.2288,45.3026,2
91.565,50.3471,2
87.78,52.2848,2
90.4919,43.7984,2
87.1027,49.6385,2
85.8336,50.7768,2
86.9718,49.962,2
89.8365,46.1989,2
89.9746,49.1052,2
91.0806,44.8371,2
92.403,50.6994,2
91.8123,47.3802,2
85.2089,43.3215,2
87.1131,36.9117,2
84.6508,51.7035,2
86.856,41.1463,2
87.8024,53.6324,2
87.728,45.3324,2
91.8835,48.4475,2
87.2429,42.0583,2
90.2466,48.2316,2
92.1318,45.4135,2
91.505,45.4504,2
85.5979,50.574,2
89.921,53.5856,2
86.1419,51.7783,2
87.2909,44.8204,2
91.915,48.4429,2
96.0962,49.388,2
89.013,41.348,2
88.2461,53.4774,2
91.8352,48.3888,2
88.1476,49.0767,2
92.4085,47.1247,2
86.5908,47.3597,2
90.8951,48.6404,2
85.1012,48.3759,2
86.5862,51.6755,2
89.005,52.7666,2
89.4523,50.372,2
89.1947,51.7825,2
88.0423,54.1936,2
89.1126,42.4508,2
88.6973,45.0153,2
90.2052,48.1759,2
89.6,44.7762,2
88.2543,53.9042,2
91.999,49.3056,2
91.7828,38.3965,2
90.3491,44.7946,2
86.4181,48.8886,2
90.1743,54.5527,2
84.2166,48.9596,2
87.1318,48.5002,2
89.4146,52.1653,2
96.1585,47.4563,2
94.4054,52.493,2
86.9418,45.9029,2
85.9066,44.2445,2
86.6872,48.0419,2
86.3109,48.6685,2
86.4281,42.5467,2
85.0789,46.2326,2
91.936,50.4201,2
91.5812,45.0742,2
95.1291,42.8016,2
88.4259,45.7601,2
94.9516,45.7467,2
89.9463,50.2493,2
89.5216,36.1927,2
84.0739,54.1751,2
83.564,47.5439,2
89.6949,45.577,2
90.2285,41.2575,2
89.7117,48.7373,2
89.7428,46.2592,2
84.0808,50.0201,2
88.8406,39.389,2
90.1685,47.9725,2
86.8695,51.2951,2
85.7424,49.6763,2
91.2372,43.1012,2
84.3017,49.326,2
94.2768,44.6449,2
86.3431,48.7447,2
84.4161,44.6044,2
85.4507,48.7714,2
90.5204,41.1995,2
89.6142,55.9238,2
87.2395,47.814,2
91.3517,53.9457,2
87.7428,44.2146,2
89.2816,44.7962,2
88.3347,50.1716,2
88.7167,53.8383,2
93.725,52.1806,2
88.8652,46.2972,2
86.8973,49.1004,2
84.4684,53.9446,2
85.2105,49.5808,2
88.7945,47.299,2
86.6341,52.8885,2
88.1526,42.285,2
89.8543,47.8203,2
89.6499,54.3044,2
85.0978,48.1174,2
93.0341,43.9514,2
88.8999,55.6848,2
91.1194,45.3769,2
90.6155,48.163,2
86.3177,44.259,2
91.7015,46.48,2
87.1794,51.1598,2
94.3648,41.8924,2
92.1155,46.7421,2
90.4303,48.403,2
87.9613,41.0845,2
90.9545,45.775,2
85.4282,54.8191,2
89.0309,45.6888,2
92.1905,40.3106,2
90.7636,49.5251,2
91.3334,43.5115,2
91.4937,50.3064,2
91.5215,47.7161,2
90.912,48.4959,2
84.5398,49.0111,2
89.7231,48.9016,2
90.1669,46.6715,2
90.6192,45.6402,2
90.2356,45.1738,2
85.5931,50.5666,2
90.3601,50.0199,2
88.9088,45.9637,2
83.6885,39.4644,2
91.2123,45.3723,2
83.8924,34.3746,2
85.6403,44.0833,2
86.652,48.2945,2
87.0762,50.7283,2
87.4564,47.4037,2
89.4854,51.8464,2
91.1165,48.9172,2
90.3261,44.0005,2
88.5556,51.3694,2
90.458,44.1667,2
93.4729,49.243,2
88.8853,48.4224,2
95.1038,48.0907,2
91.754,47.1854,2
95.9075,49.1264,2
89.5228,43.2814,2
90.7021,45.6001,2
92.0849,44.9925,2
88.82,48.4119,2
87.4787,50.8263,2
85.5918,43.3649,2
84.9395,49.9214,2
87.0413,47.5512,2
86.6818,50.5586,2
89.5018,43.7927,2
89.665,52.2942,2
90.1356,47.877,2
89.5638,52.2045,2
87.6453,45.5494,2
96.8817,50.6807,2
88.8998,51.8197,2
87.7613,52.269,2
84.8836,44.4607,2
84.1566,51.5901,2
88.5174,50.9329,2
84.1924,52.2039,2
88.5677,44.7193,2
87.1738,48.171,2
88.8642,48.0175,2
93.5652,52.9374,2
86.4614,46.5039,2
81.435,52.4516,2
94.1343,49.3229,2
90.7788,50.4529,2
89.2447,48.8367,2
94.8868,45.8962,2
89.9756,48.1054,2
83.3507,52.0499,2
90.1138,45.3442,2
88.8562,50.9917,2
88.7974,52.053,2
90.2219,39.8266,2
90.3273,48.9453,2
88.6123,47.1052,2
87.5244,42.6378,2
86.6708,47.7617,2
90.358,46.6412,2
86.934,50.2767,2
88.3847,45.9418,2
87.6987,46.9347,2
97.6855,44.7411,2
89.395,52.5135,2
88.052,46.0769,2
90.7918,52.3049,2
87.5639,50.6963,2
90.1878,44.4266,2
88.1547,44.3935,2
87.6249,52.9993,2
83.5884,43.193,2
88.3563,49.7908,2
88.9367,41.5876,2
85.7033,53.1422,2
85.0605,53.9194,2
85.2478,48.0425,2
86.402,52.5303,2
86.2921,54.6127,2
87.3851,40.1131,2
90.3538,50.489,2
92.2456,49.8483,2
89.3327,42.3362,2
92.1793,44.9883,2
90.1942,49.9448,2
86.3947,52.5926,2
86.7467,51.1191,2
88.5879,48.6831,2
87.2106,52.2256,2
89.67,48.1116,2
90.5859,45.1967,2
92.8207,51.5179,2
89.014,43.603,2
88.8365,53.8056,2
85.6767,46.1244,2
88.0831,51.1716,2
85.2735,55.0444,2
82.4569,51.4223,2
89.8371,45.6955,2
91.0736,50.0676,2
80.2368,45.3892,2
94.1671,48.3806,2
90.2918,58.0761,2
91.4702,50.8459,2
89.7609,50.9258,2
88.9767,53.2659,2
89.0141,47.2254,2
90.5379,50.6422,2
89.8731,55.2361,2
92.3094,52.1076,2
87.1002,51.2813,2
86.2298,48.1148,2
89.3258,50.2489,2
92.9927,52.9134,2
84.6777,45.3125,2
84.8171,46.6045,2
82.4462,51.6815,2
93.8521,49.4999,2
91.4381,51.9424,2
81.4439,48.5216,2
94.6958,46.716,2
89.2705,46.4272,2
87.9909,45.4986,2
87.1652,46.2185,2
80.1322,47.939,2
94.7135,45.0414,2
89.1497,42.924,2
96.4274,40.1169,2
88.8806,44.2576,2
87.8476,46.4712,2
89.5247,54.1398,2
87.9559,43.27,2
87.7503,52.3902,2
86.2991,42.9858,2
83.0513,47.3891,2
87.4855,51.2645,2
92.4444,49.4336,2
89.9791,43.9567,2
84.8837,49.3133,2
87.0268,43.7103,2
85.9711,44.6149,2
88.4842,51.8088,2
93.0818,50.1863,2
90.5982,46.9826,2
89.2324,54.4526,2
84.317,49.503,2
86.897,51.2823,2
88.53,49.1958,2
88.7332,38.2667,2
85.3736,50.9609,2
88.6667,49.2659,2
85.0091,46.4564,2
88.767,43.1842,2

72.635,72.7985,3
73.1364,74.9658,3
73.3382,66.7437,3
72.8381,66.8321,3
73.8062,68.983,3
74.0164,67.9562,3
73.123,68.1732,3
73.7772,69.7548,3
74.0034,70.2333,3
73.9119,69.4078,3
74.0703,71.3454,3
73.4394,68.3741,3
72.96,71.1806,3
73.0452,67.9602,3
73.5992,67.4286,3
74.0655,67.7051,3
72.9039,73.1573,3
73.722,71.3017,3
73.7299,66.9321,3
72.2967,70.6181,3
73.4491,70.1462,3
72.7991,68.6031,3
73.3971,68.7175,3
73.3778,68.9861,3
74.2252,68.2841,3
72.6546,71.0669,3
73.7999,73.2534,3
74.5922,68.8572,3
73.4812,69.5408,3
74.3824,69.1418,3
73.7835,66.108,3
73.0171,69.0298,3
73.5381,72.7584,3
73.3591,69.9393,3
72.7752,71.4214,3
73.7243,70.2679,3
73.6415,69.6417,3
73.8954,69.8098,3
73.2771,70.8836,3
73.7346,68.7563,3
72.9913,68.5504,3
72.5512,72.608,3
73.8834,71.0078,3
72.4116,68.3206,3
74.0903,69.715,3
73.6169,71.9917,3
73.6451,71.6268,3
73.818,68.2721,3
72.5783,68.539,3
72.8977,69.0658,3
74.6791,68.2805,3
74.1521,71.4337,3
73.6652,69.5958,3
73.8454,71.3259,3
72.4555,71.2883,3
73.7817,70.1752,3
91.9811,26.0161,4
90.2979,25.2049,4
91.2388,26.6595,4
91.9655,23.9165,4
90.7678,29.024,4
87.7469,24.0594,4
92.4135,27.5165,4
90.4122,26.6673,4
94.2253,26.573,4
90.6259,24.8211,4
88.6002,28.7988,4
90.1902,25.0782,4
89.3152,25.2486,4
89.0171,29.0451,4
89.537,27.8269,4
90.0721,25.0237,4
93.7158,27.9905,4
88.425,27.7088,4
90.5562,25.042,4
91.7559,27.3475,4
89.5061,28.7581,4
91.8513,28.4709,4
91.9714,29.3321,4
90.6725,25.995,4
90.1253,28.6277,4
90.3599,25.2032,4
90.803,27.1479,4
89.9646,28.6848,4
91.1998,26.4056,4
88.8746,26.4726,4
90.1393,24.1829,4
-1.65466,3.15554,5
-1.95979,1.89509,5
0.242731,6.30034,5
-4.54983,5.83891,5
-2.85125,-1.8993,5
4.07533,-0.00279304,5
3.64364,-0.388653,5
11.5645,5.68943,5
-0.14346,-6.13068,5
-7.99011,-3.55738,5
-0.177416,-0.497974,5
-1.35756,6.00807,5
3.25944,4.96499,5
6.08788,7.19605,5
2.21844,5.30573,5
1.63419,-1.56224,5
-2.36155,0.127156,5
0.11425,-0.896811,5
7.64785,1.49522,5
2.30702,0.830296,5
-1.21257,0.965462,5
7.55589,0.0988247,5
4.33746,-1.25607,5
1.54874,9.68863,5
-0.592713,-0.116108,5
2.66729,1.71522,5
1.31065,0.558702,5
-6.38358,-2.22453,5
-2.97827,3.83165,5
-1.611,2.77637,5
-3.91203,1.54852,5
4.42151,-6.23474,5
0.2244,-3.07489,5
9.52907,1.73414,5
2.50423,4.56043,5
-1.84383,-1.48748,5
-0.0484444,-5.97343,5
-3.39596,6.11471,5
0.855239,-1.1621,5
1.10345,2.55092,5
-5.31066,3.34637,5
0.835511,-3.44371,5
8.10291,-1.2116,5
-4.96163,-2.42639,5
10.8092,0.356932,5
-3.32887,3.24998,5
-0.397606,3.20236,5
-3.2666,-5.72386,5
-3.02228,1.00746,5
-2.04176,-5.64454,5
2.72495,2.27014,5
-1.67995,3.55699,5
6.0739,7.05283,5
-1.27768,5.53267,5
2.51899,-0.291185,5
1.1463,-1.98053,5
-5.294,0.724984,5
6.12424,-1.91427,5
2.5964,-6.36295,5
5.63341,2.8208,5
2.69827,-1.92172,5
10.3994,1.19503,5
4.32114,-0.206678,5
6.66836,-3.70412,5
1.64158,-3.79976,5
9.7046,0.839301,5
-3.57995,3.73176,5
2.69933,9.35067,5
-0.239075,-7.38483,5
-0.438414,4.15476,5
2.64711,-3.07873,5
-2.21501,2.50166,5
8.04171,-3.2728,5
3.81812,2.24573,5
4.87076,-1.61641,5
-1.72199,3.93798,5
-6.40525,0.557111,5
-2.43844,-0.852453,5
4.19113,-4.16546,5
-5.93183,-2.45815,5
6.24556,7.74392,5
2.9709,-2.7168,5
-7.30964,-2.61273,5
-8.57655,1.14362,5
-1.22235,-8.39053,5
-1.07542,-1.48035,5
-0.466294,-7.94737,5
-0.937551,5.67085,5
3.09871,3.89322,5
9.56232,5.10074,5
3.78911,-0.054962,5
1.34379,2.37818,5
1.68973,-5.34433,5
-0.0720189,-6.59261,5
-6.71218,4.20541,5
-5.77796,-4.01372,5
5.54546,1.02003,5
-0.61054,1.97387,5
4.32751,-0.4685,5
0.0433711,-2.69711,5
2.07737,-1.49538,5
